title,genres
Meet the Fockers,Comedy
Meet the Fockers,Romance
Finding Forrester,Drama
Finding Forrester,Sport
The Piano,Drama
The Piano,Music
The Piano,Romance
Together,Comedy
Together,Drama
Together,Romance
Top Gun,Action
Top Gun,Drama
The Last Emperor,Biography
The Last Emperor,Drama
The Last Emperor,History
Shaun of the Dead,Comedy
Shaun of the Dead,Horror
V for Vendetta,Action
V for Vendetta,Drama
V for Vendetta,Sci-Fi
Monty Python and the Holy Grail,Adventure
Monty Python and the Holy Grail,Comedy
Monty Python and the Holy Grail,Fantasy
The Evil Dead,Horror
Harry Potter and the Half-Blood Prince,Action
Harry Potter and the Half-Blood Prince,Adventure
Harry Potter and the Half-Blood Prince,Family
Goodfellas,Biography
Goodfellas,Crime
Goodfellas,Drama
Gandhi,Biography
Gandhi,Drama
Gandhi,History
Kolya,Comedy
Kolya,Drama
Kolya,Music
Mr. & Mrs. Smith,Action
Mr. & Mrs. Smith,Comedy
Mr. & Mrs. Smith,Crime
Closely Watched Trains,Comedy
Closely Watched Trains,Drama
Closely Watched Trains,Romance
The Fog,Horror
The Fog,Mystery
City of Angels,Drama
City of Angels,Fantasy
City of Angels,Romance
Persona,Drama
Persona,Thriller
Rosemary's Baby,Drama
Rosemary's Baby,Horror
Se7en,Crime
Se7en,Drama
Se7en,Mystery
Airplane!,Comedy
Austin Powers: The Spy Who Shagged Me,Action
Austin Powers: The Spy Who Shagged Me,Adventure
Austin Powers: The Spy Who Shagged Me,Comedy
Chinatown,Drama
Chinatown,Mystery
Chinatown,Thriller
Underworld: Evolution,Action
Underworld: Evolution,Fantasy
Underworld: Evolution,Thriller
Barren Lives,Drama
Close Encounters of the Third Kind,Drama
Close Encounters of the Third Kind,Sci-Fi
Dune,Action
Dune,Adventure
Dune,Sci-Fi
In the Mood for Love,Drama
In the Mood for Love,Romance
2046,Drama
2046,Romance
2046,Sci-Fi
The Mask,Action
The Mask,Comedy
The Mask,Crime
Black Hawk Down,Action
Black Hawk Down,Drama
